Decimal,Mode,Description,Alpha Tag,Hex,Category,Tag,Priority,Preferred NAC
2401,D,Crash Invest,Crash Invest,961,Crash Investagation,Law Talk,,
2403,D,Crash Invest,Crash Invest,963,Crash Investagation,Law Talk,,
2404,D,Crash Investagation,Crash Invest,964,Crash Investagation,Law Talk,,
2451,D,Capital PD,Capital PD,993,Capital PD,Law Dispatch,,
2702,D,Maine Center For Disease Control,Maine CDC,a8e,Maine CDC,Other,,
2703,D,Maine Center for Disease Control,Maine CDC 2703,a8f,Maine CDC,Other,,
4502,D,OIT Radio Techs,OIT Techs,1196,Radio Technicians,Public Works,,
4503,De,OIT Radio Techs,OIT-Techs2,1197,Radio Technicians,Public Works,,
9980,D,Radio Techs Talkgroup A,Radio Tech TG A,26fc,Radio Technicians,Public Works,,
9981,D,Radio Techs,Radio9981,26fd,Radio Technicians,Public Works,,
9982,D,Radio Techs,Radio9982,26fe,Radio Technicians,Public Works,,
9983,D,Radio Techs,Radio9983,26ff,Radio Technicians,Public Works,,
9984,D,Radio Techs,Radio9984,2700,Radio Technicians,Public Works,,
35128,D,Radio & Range Testing 3,TECH-35128,8938,Radio Technicians,Public Works,,
35133,D,Radio & Range Testing 4,TECH-35133,893d,Radio Technicians,Public Works,,
65535,D,System-Wide All Call,All Call,ffff,System Wide,Law Tac,,
